iter	Passed	Remaining
0	141	140955
1	142	70992
2	143	47683
3	144	36043
4	146	29072
5	147	24430
6	148	21085
7	149	18578
8	151	16645
9	152	15087
10	154	13856
11	155	12790
12	156	11894
13	157	11124
14	159	10453
15	160	9867
16	161	9350
17	163	8899
18	164	8488
19	165	8113
20	167	7786
21	168	7482
22	169	7203
23	170	6951
24	172	6716
25	173	6497
26	174	6306
27	176	6116
28	177	5945
29	178	5783
30	180	5633
31	181	5491
32	182	5357
33	183	5226
34	185	5105
35	186	4995
36	188	4894
37	189	4795
38	190	4695
39	191	4600
40	193	4515
41	194	4431
42	195	4348
43	196	4274
44	198	4207
45	199	4139
46	200	4072
47	201	4004
48	203	3942
49	204	3880
50	205	3822
51	206	3765
52	207	3714
53	209	3675
54	211	3634
55	212	3587
56	214	3542
57	215	3499
58	216	3456
59	217	3414
60	219	3373
61	220	3333
62	222	3307
63	223	3272
64	224	3236
65	226	3203
66	227	3169
67	228	3138
68	230	3106
69	231	3074
70	232	3044
71	234	3016
72	235	2990
73	236	2961
74	237	2933
75	238	2905
76	240	2879
77	241	2852
78	242	2827
79	243	2802
80	244	2777
81	246	2757
82	246	2728
83	248	2706
84	249	2685
85	250	2665
86	252	2646
87	253	2627
88	254	2607
89	256	2588
90	257	2571
91	258	2553
92	259	2534
93	261	2516
94	262	2499
95	264	2487
96	265	2473
97	267	2457
98	268	2442
99	269	2427
100	271	2414
101	272	2399
102	273	2383
103	274	2367
104	276	2352
105	277	2337
106	278	2324
107	279	2309
108	281	2297
109	282	2287
110	284	2275
111	285	2262
112	286	2250
113	287	2237
114	289	2225
115	290	2213
116	291	2200
117	292	2189
118	294	2179
119	295	2169
120	297	2158
121	298	2145
122	299	2134
123	300	2124
124	301	2113
125	303	2103
126	304	2093
127	306	2087
128	307	2076
129	308	2066
130	309	2056
131	311	2046
132	312	2036
133	313	2027
134	314	2017
135	316	2008
136	317	2002
137	319	1994
138	320	1986
139	322	1978
140	323	1970
141	324	1959
142	325	1951
143	326	1943
144	328	1935
145	329	1926
146	330	1919
147	332	1911
148	333	1904
149	334	1897
150	336	1889
151	337	1882
152	338	1874
153	339	1866
154	340	1858
155	342	1852
156	343	1845
157	345	1838
158	346	1831
159	347	1824
160	348	1816
161	349	1810
162	351	1803
163	352	1798
164	354	1794
165	356	1789
166	357	1783
167	358	1777
168	360	1770
169	361	1765
170	363	1760
171	364	1754
172	365	1749
173	367	1744
174	368	1738
175	370	1732
176	371	1727
177	372	1720
178	373	1714
179	375	1709
180	376	1704
181	377	1698
182	379	1693
183	380	1687
184	381	1681
185	383	1676
186	384	1670
187	385	1665
188	386	1659
189	387	1654
190	389	1649
191	391	1645
192	392	1640
193	393	1635
194	394	1630
195	396	1625
196	397	1619
197	398	1614
198	399	1608
199	400	1602
200	402	1598
201	403	1593
202	404	1589
203	406	1584
204	407	1579
205	408	1573
206	409	1568
207	410	1564
208	412	1559
209	413	1556
210	415	1553
211	416	1549
212	418	1546
213	419	1541
214	421	1538
215	422	1534
216	424	1530
217	425	1525
218	426	1522
219	428	1518
220	429	1515
221	431	1511
222	432	1506
223	433	1502
224	435	1498
225	436	1494
226	437	1491
227	439	1487
228	440	1483
229	441	1479
230	443	1475
231	444	1471
232	445	1467
233	447	1463
234	448	1459
235	449	1456
236	451	1452
237	452	1448
238	453	1444
239	455	1440
240	456	1436
241	457	1432
242	458	1428
243	459	1424
244	461	1420
245	462	1418
246	463	1414
247	465	1410
248	466	1406
249	467	1402
250	468	1398
251	469	1394
252	471	1390
253	472	1387
254	474	1386
255	476	1384
256	478	1382
257	479	1378
258	480	1375
259	481	1371
260	482	1367
261	484	1363
262	485	1360
263	487	1358
264	488	1355
265	489	1351
266	491	1348
267	492	1345
268	493	1341
269	494	1337
270	495	1334
271	497	1331
272	498	1328
273	500	1325
274	501	1322
275	502	1318
276	504	1315
277	505	1312
278	506	1308
279	507	1305
280	508	1301
281	510	1299
282	511	1296
283	512	1292
284	514	1289
285	515	1286
286	516	1283
287	518	1280
288	519	1277
289	520	1274
290	522	1272
291	523	1269
292	524	1266
293	526	1263
294	527	1260
295	529	1258
296	530	1255
297	531	1252
298	533	1250
299	535	1248
300	536	1246
301	537	1243
302	539	1240
303	540	1237
304	542	1235
305	543	1233
306	545	1230
307	547	1229
308	548	1226
309	550	1224
310	551	1221
311	552	1218
312	553	1215
313	555	1213
314	556	1210
315	557	1207
316	559	1205
317	560	1202
318	561	1199
319	562	1196
320	564	1193
321	565	1190
322	566	1187
323	567	1184
324	569	1182
325	571	1180
326	572	1177
327	573	1174
328	574	1172
329	575	1169
330	577	1166
331	578	1163
332	579	1161
333	580	1158
334	582	1155
